[2024-05-12T20:44:14.581+0500] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-12T20:44:14.592+0500] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: extract_transform_load_data_dag.extract_data manual__2024-05-12T15:44:11.738292+00:00 [queued]>
[2024-05-12T20:44:14.597+0500] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: extract_transform_load_data_dag.extract_data manual__2024-05-12T15:44:11.738292+00:00 [queued]>
[2024-05-12T20:44:14.597+0500] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-05-12T20:44:14.620+0500] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): extract_data> on 2024-05-12 15:44:11.738292+00:00
[2024-05-12T20:44:14.622+0500] {standard_task_runner.py:63} INFO - Started process 18347 to run task
[2024-05-12T20:44:14.625+0500] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'extract_transform_load_data_dag', 'extract_data', 'manual__2024-05-12T15:44:11.738292+00:00', '--job-id', '10', '--raw', '--subdir', '/home/awahab02/mlops_assignment_2/myenv/lib/python3.10/site-packages/airflow/example_dags/dagfile.py', '--cfg-path', '/tmp/tmpswkukz85']
[2024-05-12T20:44:14.625+0500] {standard_task_runner.py:91} INFO - Job 10: Subtask extract_data
[2024-05-12T20:44:14.663+0500] {task_command.py:426} INFO - Running <TaskInstance: extract_transform_load_data_dag.extract_data manual__2024-05-12T15:44:11.738292+00:00 [running]> on host LAPTOP-DNNCGPVF.
[2024-05-12T20:44:14.809+0500] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='extract_transform_load_data_dag' AIRFLOW_CTX_TASK_ID='extract_data' AIRFLOW_CTX_EXECUTION_DATE='2024-05-12T15:44:11.738292+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-05-12T15:44:11.738292+00:00'
[2024-05-12T20:44:14.810+0500] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-12T20:44:15.540+0500] {logging_mixin.py:188} INFO - Total links: 522
[2024-05-12T20:44:15.540+0500] {logging_mixin.py:188} INFO - Extracting articles from BBC...
[2024-05-12T20:44:15.910+0500] {logging_mixin.py:188} INFO - 83/522 links done from BBC.
[2024-05-12T20:44:16.359+0500] {logging_mixin.py:188} INFO - 146/522 links done from BBC.
[2024-05-12T20:44:16.935+0500] {logging_mixin.py:188} INFO - 158/522 links done from BBC.
[2024-05-12T20:44:17.314+0500] {logging_mixin.py:188} INFO - 183/522 links done from BBC.
[2024-05-12T20:44:17.687+0500] {logging_mixin.py:188} INFO - 194/522 links done from BBC.
[2024-05-12T20:44:18.390+0500] {logging_mixin.py:188} INFO - 198/522 links done from BBC.
[2024-05-12T20:44:18.987+0500] {logging_mixin.py:188} INFO - 199/522 links done from BBC.
