[2024-05-12T20:32:24.256+0500] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-12T20:32:24.269+0500] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: extract_transform_load_data_dag.extract_data manual__2024-05-12T15:32:20.356671+00:00 [queued]>
[2024-05-12T20:32:24.273+0500] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: extract_transform_load_data_dag.extract_data manual__2024-05-12T15:32:20.356671+00:00 [queued]>
[2024-05-12T20:32:24.273+0500] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-05-12T20:32:41.559+0500] {logging_mixin.py:188} INFO - 298/522 links done from Dawn.
[2024-05-12T20:32:41.837+0500] {logging_mixin.py:188} INFO - 299/522 links done from Dawn.
[2024-05-12T20:32:42.113+0500] {logging_mixin.py:188} INFO - 300/522 links done from Dawn.
[2024-05-12T20:32:42.434+0500] {logging_mixin.py:188} INFO - 301/522 links done from Dawn.
[2024-05-12T20:32:42.693+0500] {logging_mixin.py:188} INFO - 302/522 links done from Dawn.
[2024-05-12T20:32:43.014+0500] {logging_mixin.py:188} INFO - 303/522 links done from Dawn.
[2024-05-12T20:32:43.343+0500] {logging_mixin.py:188} INFO - 304/522 links done from Dawn.
[2024-05-12T20:32:43.695+0500] {logging_mixin.py:188} INFO - 305/522 links done from Dawn.
[2024-05-12T20:32:43.987+0500] {logging_mixin.py:188} INFO - 308/522 links done from Dawn.
[2024-05-12T20:32:44.254+0500] {logging_mixin.py:188} INFO - 309/522 links done from Dawn.
[2024-05-12T20:32:44.565+0500] {logging_mixin.py:188} INFO - 310/522 links done from Dawn.
[2024-05-12T20:32:44.854+0500] {logging_mixin.py:188} INFO - 311/522 links done from Dawn.
[2024-05-12T20:32:45.464+0500] {logging_mixin.py:188} INFO - 312/522 links done from Dawn.
[2024-05-12T20:32:46.104+0500] {logging_mixin.py:188} INFO - 313/522 links done from Dawn.
[2024-05-12T20:32:46.496+0500] {logging_mixin.py:188} INFO - 314/522 links done from Dawn.
[2024-05-12T20:32:46.758+0500] {logging_mixin.py:188} INFO - 315/522 links done from Dawn.
[2024-05-12T20:32:47.246+0500] {logging_mixin.py:188} INFO - 316/522 links done from Dawn.
[2024-05-12T20:32:47.598+0500] {logging_mixin.py:188} INFO - 317/522 links done from Dawn.
[2024-05-12T20:32:48.095+0500] {logging_mixin.py:188} INFO - 318/522 links done from Dawn.
[2024-05-12T20:32:48.393+0500] {logging_mixin.py:188} INFO - 319/522 links done from Dawn.
[2024-05-12T20:32:48.671+0500] {logging_mixin.py:188} INFO - 320/522 links done from Dawn.
[2024-05-12T20:32:48.956+0500] {logging_mixin.py:188} INFO - 321/522 links done from Dawn.
[2024-05-12T20:32:49.222+0500] {logging_mixin.py:188} INFO - 322/522 links done from Dawn.
[2024-05-12T20:32:49.493+0500] {logging_mixin.py:188} INFO - 323/522 links done from Dawn.
[2024-05-12T20:32:49.754+0500] {logging_mixin.py:188} INFO - 324/522 links done from Dawn.
[2024-05-12T20:32:50.024+0500] {logging_mixin.py:188} INFO - 325/522 links done from Dawn.
[2024-05-12T20:32:50.285+0500] {logging_mixin.py:188} INFO - 326/522 links done from Dawn.
[2024-05-12T20:32:50.534+0500] {logging_mixin.py:188} INFO - 327/522 links done from Dawn.
[2024-05-12T20:32:50.793+0500] {logging_mixin.py:188} INFO - 328/522 links done from Dawn.
[2024-05-12T20:32:51.046+0500] {logging_mixin.py:188} INFO - 330/522 links done from Dawn.
[2024-05-12T20:32:51.367+0500] {logging_mixin.py:188} INFO - 331/522 links done from Dawn.
[2024-05-12T20:32:51.625+0500] {logging_mixin.py:188} INFO - 333/522 links done from Dawn.
[2024-05-12T20:32:51.896+0500] {logging_mixin.py:188} INFO - 334/522 links done from Dawn.
[2024-05-12T20:32:52.157+0500] {logging_mixin.py:188} INFO - 336/522 links done from Dawn.
[2024-05-12T20:32:52.414+0500] {logging_mixin.py:188} INFO - 337/522 links done from Dawn.
[2024-05-12T20:32:52.690+0500] {logging_mixin.py:188} INFO - 339/522 links done from Dawn.
[2024-05-12T20:32:52.963+0500] {logging_mixin.py:188} INFO - 340/522 links done from Dawn.
[2024-05-12T20:32:53.705+0500] {logging_mixin.py:188} INFO - 342/522 links done from Dawn.
[2024-05-12T20:32:53.954+0500] {logging_mixin.py:188} INFO - 344/522 links done from Dawn.
[2024-05-12T20:32:54.269+0500] {logging_mixin.py:188} INFO - 345/522 links done from Dawn.
[2024-05-12T20:32:54.545+0500] {logging_mixin.py:188} INFO - 346/522 links done from Dawn.
[2024-05-12T20:32:54.815+0500] {logging_mixin.py:188} INFO - 347/522 links done from Dawn.
[2024-05-12T20:32:55.078+0500] {logging_mixin.py:188} INFO - 348/522 links done from Dawn.
[2024-05-12T20:32:55.377+0500] {logging_mixin.py:188} INFO - 349/522 links done from Dawn.
[2024-05-12T20:32:55.638+0500] {logging_mixin.py:188} INFO - 350/522 links done from Dawn.
[2024-05-12T20:32:55.897+0500] {logging_mixin.py:188} INFO - 351/522 links done from Dawn.
[2024-05-12T20:32:56.159+0500] {logging_mixin.py:188} INFO - 352/522 links done from Dawn.
[2024-05-12T20:32:56.426+0500] {logging_mixin.py:188} INFO - 353/522 links done from Dawn.
[2024-05-12T20:32:56.699+0500] {logging_mixin.py:188} INFO - 354/522 links done from Dawn.
[2024-05-12T20:32:56.950+0500] {logging_mixin.py:188} INFO - 355/522 links done from Dawn.
[2024-05-12T20:32:57.228+0500] {logging_mixin.py:188} INFO - 356/522 links done from Dawn.
[2024-05-12T20:32:57.555+0500] {logging_mixin.py:188} INFO - 357/522 links done from Dawn.
[2024-05-12T20:32:57.828+0500] {logging_mixin.py:188} INFO - 358/522 links done from Dawn.
[2024-05-12T20:32:58.092+0500] {logging_mixin.py:188} INFO - 360/522 links done from Dawn.
[2024-05-12T20:32:58.378+0500] {logging_mixin.py:188} INFO - 361/522 links done from Dawn.
[2024-05-12T20:32:59.756+0500] {logging_mixin.py:188} INFO - 362/522 links done from Dawn.
[2024-05-12T20:33:00.026+0500] {logging_mixin.py:188} INFO - 363/522 links done from Dawn.
[2024-05-12T20:33:00.322+0500] {logging_mixin.py:188} INFO - 364/522 links done from Dawn.
[2024-05-12T20:33:00.605+0500] {logging_mixin.py:188} INFO - 365/522 links done from Dawn.
[2024-05-12T20:33:00.936+0500] {logging_mixin.py:188} INFO - 366/522 links done from Dawn.
[2024-05-12T20:33:01.224+0500] {logging_mixin.py:188} INFO - 367/522 links done from Dawn.
[2024-05-12T20:33:01.492+0500] {logging_mixin.py:188} INFO - 368/522 links done from Dawn.
[2024-05-12T20:33:01.769+0500] {logging_mixin.py:188} INFO - 369/522 links done from Dawn.
[2024-05-12T20:33:02.041+0500] {logging_mixin.py:188} INFO - 370/522 links done from Dawn.
[2024-05-12T20:33:02.300+0500] {logging_mixin.py:188} INFO - 371/522 links done from Dawn.
[2024-05-12T20:33:02.569+0500] {logging_mixin.py:188} INFO - 372/522 links done from Dawn.
[2024-05-12T20:33:02.831+0500] {logging_mixin.py:188} INFO - 373/522 links done from Dawn.
[2024-05-12T20:33:03.093+0500] {logging_mixin.py:188} INFO - 374/522 links done from Dawn.
[2024-05-12T20:33:03.353+0500] {logging_mixin.py:188} INFO - 375/522 links done from Dawn.
[2024-05-12T20:33:03.661+0500] {logging_mixin.py:188} INFO - 377/522 links done from Dawn.
[2024-05-12T20:33:03.929+0500] {logging_mixin.py:188} INFO - 378/522 links done from Dawn.
[2024-05-12T20:33:04.191+0500] {logging_mixin.py:188} INFO - 379/522 links done from Dawn.
[2024-05-12T20:33:04.450+0500] {logging_mixin.py:188} INFO - 380/522 links done from Dawn.
[2024-05-12T20:33:04.702+0500] {logging_mixin.py:188} INFO - 381/522 links done from Dawn.
[2024-05-12T20:33:04.954+0500] {logging_mixin.py:188} INFO - 382/522 links done from Dawn.
[2024-05-12T20:33:05.241+0500] {logging_mixin.py:188} INFO - 383/522 links done from Dawn.
[2024-05-12T20:33:05.499+0500] {logging_mixin.py:188} INFO - 384/522 links done from Dawn.
[2024-05-12T20:33:05.814+0500] {logging_mixin.py:188} INFO - 385/522 links done from Dawn.
[2024-05-12T20:33:06.069+0500] {logging_mixin.py:188} INFO - 386/522 links done from Dawn.
[2024-05-12T20:33:06.322+0500] {logging_mixin.py:188} INFO - 387/522 links done from Dawn.
[2024-05-12T20:33:06.726+0500] {logging_mixin.py:188} INFO - 388/522 links done from Dawn.
[2024-05-12T20:33:07.039+0500] {logging_mixin.py:188} INFO - 390/522 links done from Dawn.
[2024-05-12T20:33:07.319+0500] {logging_mixin.py:188} INFO - 391/522 links done from Dawn.
[2024-05-12T20:33:07.573+0500] {logging_mixin.py:188} INFO - 392/522 links done from Dawn.
[2024-05-12T20:33:07.838+0500] {logging_mixin.py:188} INFO - 393/522 links done from Dawn.
[2024-05-12T20:33:08.095+0500] {logging_mixin.py:188} INFO - 394/522 links done from Dawn.
[2024-05-12T20:33:08.364+0500] {logging_mixin.py:188} INFO - 395/522 links done from Dawn.
[2024-05-12T20:33:08.617+0500] {logging_mixin.py:188} INFO - 396/522 links done from Dawn.
[2024-05-12T20:33:08.883+0500] {logging_mixin.py:188} INFO - 397/522 links done from Dawn.
[2024-05-12T20:33:09.141+0500] {logging_mixin.py:188} INFO - 398/522 links done from Dawn.
[2024-05-12T20:33:09.417+0500] {logging_mixin.py:188} INFO - 399/522 links done from Dawn.
[2024-05-12T20:33:09.685+0500] {logging_mixin.py:188} INFO - 400/522 links done from Dawn.
[2024-05-12T20:33:09.950+0500] {logging_mixin.py:188} INFO - 401/522 links done from Dawn.
[2024-05-12T20:33:10.212+0500] {logging_mixin.py:188} INFO - 403/522 links done from Dawn.
[2024-05-12T20:33:10.474+0500] {logging_mixin.py:188} INFO - 404/522 links done from Dawn.
[2024-05-12T20:33:10.739+0500] {logging_mixin.py:188} INFO - 405/522 links done from Dawn.
[2024-05-12T20:33:10.994+0500] {logging_mixin.py:188} INFO - 406/522 links done from Dawn.
[2024-05-12T20:33:11.250+0500] {logging_mixin.py:188} INFO - 407/522 links done from Dawn.
[2024-05-12T20:33:11.567+0500] {logging_mixin.py:188} INFO - 408/522 links done from Dawn.
[2024-05-12T20:33:11.889+0500] {logging_mixin.py:188} INFO - 409/522 links done from Dawn.
[2024-05-12T20:33:12.180+0500] {logging_mixin.py:188} INFO - 410/522 links done from Dawn.
[2024-05-12T20:33:12.450+0500] {logging_mixin.py:188} INFO - 411/522 links done from Dawn.
[2024-05-12T20:33:12.703+0500] {logging_mixin.py:188} INFO - 412/522 links done from Dawn.
[2024-05-12T20:33:13.027+0500] {logging_mixin.py:188} INFO - 413/522 links done from Dawn.
[2024-05-12T20:33:13.288+0500] {logging_mixin.py:188} INFO - 414/522 links done from Dawn.
[2024-05-12T20:33:13.594+0500] {logging_mixin.py:188} INFO - 418/522 links done from Dawn.
[2024-05-12T20:33:13.851+0500] {logging_mixin.py:188} INFO - 421/522 links done from Dawn.
[2024-05-12T20:33:14.117+0500] {logging_mixin.py:188} INFO - 424/522 links done from Dawn.
[2024-05-12T20:33:14.382+0500] {logging_mixin.py:188} INFO - 426/522 links done from Dawn.
[2024-05-12T20:33:14.646+0500] {logging_mixin.py:188} INFO - 427/522 links done from Dawn.
[2024-05-12T20:33:14.912+0500] {logging_mixin.py:188} INFO - 428/522 links done from Dawn.
[2024-05-12T20:33:15.170+0500] {logging_mixin.py:188} INFO - 429/522 links done from Dawn.
