[2024-05-12T20:37:24.694+0500] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-12T20:37:24.704+0500] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: extract_transform_load_data_dag.extract_data manual__2024-05-12T15:37:21.017119+00:00 [queued]>
[2024-05-12T20:37:24.708+0500] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: extract_transform_load_data_dag.extract_data manual__2024-05-12T15:37:21.017119+00:00 [queued]>
[2024-05-12T20:37:24.708+0500] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2024-05-12T20:37:24.727+0500] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): extract_data> on 2024-05-12 15:37:21.017119+00:00
[2024-05-12T20:37:24.728+0500] {standard_task_runner.py:63} INFO - Started process 15480 to run task
[2024-05-12T20:37:24.731+0500] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'extract_transform_load_data_dag', 'extract_data', 'manual__2024-05-12T15:37:21.017119+00:00', '--job-id', '7', '--raw', '--subdir', '/home/awahab02/mlops_assignment_2/myenv/lib/python3.10/site-packages/airflow/example_dags/dagfile.py', '--cfg-path', '/tmp/tmp7qj0vu8e']
[2024-05-12T20:37:24.731+0500] {standard_task_runner.py:91} INFO - Job 7: Subtask extract_data
[2024-05-12T20:37:24.767+0500] {task_command.py:426} INFO - Running <TaskInstance: extract_transform_load_data_dag.extract_data manual__2024-05-12T15:37:21.017119+00:00 [running]> on host LAPTOP-DNNCGPVF.
[2024-05-12T20:37:24.910+0500] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='extract_transform_load_data_dag' AIRFLOW_CTX_TASK_ID='extract_data' AIRFLOW_CTX_EXECUTION_DATE='2024-05-12T15:37:21.017119+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-05-12T15:37:21.017119+00:00'
[2024-05-12T20:37:24.911+0500] {taskinstance.py:430} INFO - ::endgroup::
[2024-05-12T20:37:25.636+0500] {logging_mixin.py:188} INFO - Total links: 522
[2024-05-12T20:37:25.636+0500] {logging_mixin.py:188} INFO - Extracting articles from BBC...
[2024-05-12T20:37:26.021+0500] {logging_mixin.py:188} INFO - 83/522 links done from BBC.
[2024-05-12T20:37:26.436+0500] {logging_mixin.py:188} INFO - 146/522 links done from BBC.
[2024-05-12T20:37:27.054+0500] {logging_mixin.py:188} INFO - 156/522 links done from BBC.
[2024-05-12T20:37:27.483+0500] {logging_mixin.py:188} INFO - 183/522 links done from BBC.
[2024-05-12T20:37:27.873+0500] {logging_mixin.py:188} INFO - 194/522 links done from BBC.
[2024-05-12T20:37:28.494+0500] {logging_mixin.py:188} INFO - 198/522 links done from BBC.
[2024-05-12T20:37:29.411+0500] {logging_mixin.py:188} INFO - 199/522 links done from BBC.
[2024-05-12T20:37:30.001+0500] {logging_mixin.py:188} INFO - 202/522 links done from BBC.
[2024-05-12T20:37:30.376+0500] {logging_mixin.py:188} INFO - 203/522 links done from BBC.
[2024-05-12T20:37:30.661+0500] {logging_mixin.py:188} INFO - 204/522 links done from BBC.
[2024-05-12T20:37:30.662+0500] {logging_mixin.py:188} INFO - Extracting articles from Dawn...
[2024-05-12T20:37:31.570+0500] {logging_mixin.py:188} INFO - 212/522 links done from Dawn.
[2024-05-12T20:37:32.074+0500] {logging_mixin.py:188} INFO - 214/522 links done from Dawn.
[2024-05-12T20:37:32.438+0500] {logging_mixin.py:188} INFO - 217/522 links done from Dawn.
[2024-05-12T20:37:32.751+0500] {logging_mixin.py:188} INFO - 221/522 links done from Dawn.
[2024-05-12T20:37:33.172+0500] {logging_mixin.py:188} INFO - 237/522 links done from Dawn.
[2024-05-12T20:37:33.583+0500] {logging_mixin.py:188} INFO - 254/522 links done from Dawn.
[2024-05-12T20:37:33.951+0500] {logging_mixin.py:188} INFO - 255/522 links done from Dawn.
[2024-05-12T20:37:34.375+0500] {logging_mixin.py:188} INFO - 256/522 links done from Dawn.
[2024-05-12T20:37:34.720+0500] {logging_mixin.py:188} INFO - 257/522 links done from Dawn.
[2024-05-12T20:37:35.082+0500] {logging_mixin.py:188} INFO - 258/522 links done from Dawn.
[2024-05-12T20:37:35.392+0500] {logging_mixin.py:188} INFO - 259/522 links done from Dawn.
[2024-05-12T20:37:35.717+0500] {logging_mixin.py:188} INFO - 260/522 links done from Dawn.
[2024-05-12T20:37:36.041+0500] {logging_mixin.py:188} INFO - 261/522 links done from Dawn.
[2024-05-12T20:37:36.455+0500] {logging_mixin.py:188} INFO - 262/522 links done from Dawn.
[2024-05-12T20:37:36.831+0500] {logging_mixin.py:188} INFO - 263/522 links done from Dawn.
[2024-05-12T20:37:37.145+0500] {logging_mixin.py:188} INFO - 264/522 links done from Dawn.
[2024-05-12T20:37:37.462+0500] {logging_mixin.py:188} INFO - 265/522 links done from Dawn.
